open_time,open,high,low,close,volume,close_time
1722470400000,64601.80,64653.20,64577.00,64612.60,547.687,1722470459999
1722470460000,64612.70,64663.30,64600.10,64648.00,276.696,1722470519999
1722470520000,64647.90,64682.70,64600.90,64600.90,165.142,1722470579999
1722470580000,64601.00,64675.40,64600.90,64666.00,130.380,1722470639999
1722470640000,64666.00,64689.80,64655.10,64655.90,81.719,1722470699999
1722470700000,64655.90,64724.90,64655.80,64723.40,150.495,1722470759999
1722470760000,64723.40,64763.40,64711.80,64763.40,164.362,1722470819999
1722470820000,64763.30,64770.50,64711.60,64711.90,74.262,1722470879999
1722470880000,64711.90,64738.70,64655.90,64702.60,146.181,1722470939999
1722470940000,64702.60,64764.40,64702.60,64761.50,90.062,1722470999999
1722471000000,64761.50,64790.00,64746.00,64770.00,106.828,1722471059999
1722471060000,64769.90,64770.00,64713.50,64714.40,59.502,1722471119999
1722471120000,64714.30,64714.30,64622.00,64622.00,127.601,1722471179999
1722471180000,64622.00,64634.90,64603.80,64603.90,127.566,1722471239999
1722471240000,64603.80,64638.80,64603.80,64638.70,112.694,1722471299999
1722471300000,64638.80,64695.50,64620.40,64688.40,186.020,1722471359999
1722471360000,64688.50,64747.80,64679.40,64716.40,102.982,1722471419999
1722471420000,64716.30,64716.30,64640.00,64650.10,79.979,1722471479999
1722471480000,64650.00,64673.60,64612.30,64627.10,127.230,1722471539999
1722471540000,64627.00,64652.20,64616.30,64650.00,71.833,1722471599999
1722471600000,64650.00,64668.20,64626.00,64642.00,47.444,1722471659999
1722471660000,64642.00,64642.00,64607.10,64614.50,98.286,1722471719999
1722471720000,64614.50,64630.30,64600.00,64610.00,68.293,1722471779999
1722471780000,64609.90,64619.70,64600.00,64604.00,97.251,1722471839999
1722471840000,64603.90,64613.10,64556.70,64569.90,246.427,1722471899999
1722471900000,64569.90,64582.70,64555.00,64556.20,157.247,1722471959999
1722471960000,64556.20,64560.50,64511.90,64513.00,326.393,1722472019999
1722472020000,64513.00,64530.50,64400.00,64530.50,1608.846,1722472079999
1722472080000,64530.50,64688.40,64530.40,64648.60,624.002,1722472139999
1722472140000,64648.50,64664.20,64533.30,64533.30,235.040,1722472199999
1722472200000,64533.30,64618.60,64522.20,64572.30,210.562,1722472259999
1722472260000,64572.20,64674.40,64556.00,64664.00,131.601,1722472319999
1722472320000,64664.00,64692.50,64652.00,64675.20,134.001,1722472379999
1722472380000,64675.20,64688.90,64624.00,64645.10,102.266,1722472439999
1722472440000,64645.00,64716.00,64640.10,64716.00,85.307,1722472499999
1722472500000,64715.90,64787.00,64715.90,64777.90,181.032,1722472559999
1722472560000,64777.90,64777.90,64708.80,64740.40,206.124,1722472619999
1722472620000,64740.40,64760.00,64736.00,64748.60,96.167,1722472679999
1722472680000,64748.70,64774.90,64741.90,64760.40,52.076,1722472739999
1722472740000,64760.50,64824.40,64760.00,64794.70,222.384,1722472799999
1722472800000,64794.70,64794.70,64748.00,64748.00,81.824,1722472859999
1722472860000,64747.40,64763.20,64716.00,64757.90,141.480,1722472919999
1722472920000,64758.00,64766.30,64715.90,64716.00,65.871,1722472979999
1722472980000,64715.90,64723.40,64666.00,64666.10,61.671,1722473039999
1722473040000,64666.00,64688.50,64615.00,64628.20,98.254,1722473099999
1722473100000,64628.20,64635.60,64539.50,64539.50,180.307,1722473159999
1722473160000,64539.50,64542.30,64437.50,64461.50,391.534,1722473219999
1722473220000,64461.40,64461.50,64339.10,64361.70,1056.699,1722473279999
1722473280000,64361.60,64484.30,64320.00,64454.40,491.498,1722473339999
1722473340000,64454.10,64470.80,64408.00,64457.60,175.003,1722473399999
1722473400000,64457.50,64520.90,64450.00,64502.10,142.823,1722473459999
1722473460000,64502.00,64624.20,64502.00,64619.70,192.496,1722473519999
1722473520000,64619.70,64619.80,64556.20,64565.80,136.680,1722473579999
1722473580000,64565.80,64569.60,64539.00,64544.60,79.385,1722473639999
1722473640000,64544.60,64596.00,64535.80,64589.30,142.528,1722473699999
1722473700000,64589.30,64608.00,64526.80,64594.00,84.358,1722473759999
1722473760000,64593.90,64594.60,64559.90,64594.60,85.360,1722473819999
1722473820000,64594.60,64670.00,64588.80,64662.80,124.440,1722473879999
1722473880000,64662.80,64675.90,64640.50,64661.80,100.651,1722473939999
1722473940000,64661.80,64672.30,64624.00,64626.40,73.982,1722473999999
1722474000000,64624.70,64652.20,64603.70,64621.10,87.380,1722474059999
1722474060000,64621.10,64665.80,64598.40,64665.70,69.599,1722474119999
1722474120000,64665.70,64694.00,64657.20,64671.10,89.141,1722474179999
1722474180000,64671.10,64800.50,64670.00,64800.00,622.832,1722474239999
1722474240000,64800.10,64801.90,64720.00,64723.30,230.089,1722474299999
1722474300000,64723.30,64727.90,64686.40,64699.90,102.310,1722474359999
1722474360000,64700.00,64703.90,64600.00,64603.40,175.628,1722474419999
1722474420000,64603.30,64603.40,64550.00,64568.90,128.406,1722474479999
1722474480000,64568.90,64579.00,64536.00,64570.00,90.050,1722474539999
1722474540000,64570.50,64570.50,64524.40,64524.50,198.809,1722474599999
1722474600000,64524.50,64568.90,64483.00,64528.20,189.612,1722474659999
1722474660000,64528.20,64621.40,64528.20,64621.40,162.450,1722474719999
1722474720000,64621.60,64655.40,64621.60,64655.40,158.483,1722474779999
1722474780000,64655.40,64665.00,64590.40,64601.90,108.932,1722474839999
1722474840000,64601.90,64638.00,64594.10,64615.20,76.302,1722474899999
1722474900000,64615.20,64620.10,64573.20,64602.00,148.158,1722474959999
1722474960000,64601.30,64601.30,64514.00,64553.50,123.153,1722475019999
1722475020000,64553.50,64553.50,64500.00,64500.10,78.695,1722475079999
1722475080000,64500.00,64521.30,64463.60,64482.40,201.688,1722475139999
1722475140000,64482.40,64499.90,64473.00,64492.90,88.543,1722475199999
1722475200000,64493.00,64493.00,64447.00,64456.70,288.629,1722475259999
1722475260000,64456.60,64466.20,64399.10,64428.20,172.037,1722475319999
1722475320000,64428.30,64447.90,64369.80,64381.90,206.026,1722475379999
1722475380000,64381.90,64489.90,64381.90,64441.30,360.090,1722475439999
1722475440000,64441.30,64452.50,64382.20,64403.90,114.682,1722475499999
1722475500000,64403.90,64424.30,64392.20,64416.40,81.024,1722475559999
1722475560000,64416.50,64450.00,64414.70,64449.90,142.355,1722475619999
1722475620000,64450.00,64498.10,64440.00,64490.10,97.517,1722475679999
1722475680000,64490.10,64558.60,64490.00,64554.90,85.837,1722475739999
1722475740000,64554.90,64560.00,64524.50,64527.90,53.147,1722475799999
1722475800000,64527.80,64531.20,64475.40,64475.40,71.970,1722475859999
1722475860000,64475.30,64500.00,64440.00,64446.10,83.731,1722475919999
1722475920000,64446.00,64475.60,64429.00,64438.10,96.093,1722475979999
1722475980000,64438.00,64442.60,64398.00,64398.00,133.461,1722476039999
1722476040000,64398.00,64416.20,64340.00,64366.60,207.344,1722476099999
1722476100000,64366.70,64377.50,64112.70,64124.00,2485.164,1722476159999
1722476160000,64124.10,64188.00,64083.00,64143.10,1133.601,1722476219999
1722476220000,64143.10,64319.00,64127.10,64297.00,576.726,1722476279999
1722476280000,64297.00,64297.00,64233.40,64277.40,428.478,1722476339999
1722476340000,64277.50,64277.50,64173.00,64223.90,260.841,1722476399999
1722476400000,64224.00,64321.10,64219.10,64321.10,172.579,1722476459999
1722476460000,64321.10,64344.20,64304.00,64344.10,134.160,1722476519999
1722476520000,64344.20,64350.00,64260.30,64296.30,176.313,1722476579999
1722476580000,64296.40,64339.00,64288.20,64309.80,152.532,1722476639999
1722476640000,64309.90,64432.40,64298.00,64396.60,285.818,1722476699999
1722476700000,64396.60,64397.50,64325.20,64334.30,122.932,1722476759999
1722476760000,64334.30,64340.80,64292.40,64316.80,82.314,1722476819999
1722476820000,64316.80,64329.90,64293.10,64329.90,76.236,1722476879999
1722476880000,64329.90,64348.10,64297.50,64309.10,97.260,1722476939999
1722476940000,64309.10,64387.50,64309.10,64361.70,123.611,1722476999999
1722477000000,64361.60,64430.10,64342.20,64361.00,161.522,1722477059999
1722477060000,64360.90,64361.00,64320.40,64330.50,61.872,1722477119999
1722477120000,64330.60,64334.80,64267.20,64271.80,103.128,1722477179999
1722477180000,64271.70,64271.70,64198.80,64217.40,233.630,1722477239999
1722477240000,64217.50,64217.50,64171.80,64193.80,219.743,1722477299999
1722477300000,64193.90,64193.90,64172.50,64172.60,128.159,1722477359999
1722477360000,64172.60,64189.10,64111.50,64155.10,310.900,1722477419999
1722477420000,64155.10,64181.20,64125.00,64130.40,123.914,1722477479999
1722477480000,64130.30,64166.60,64115.10,64150.30,158.400,1722477539999
1722477540000,64150.30,64200.80,64145.90,64172.60,142.925,1722477599999
1722477600000,64172.70,64212.90,64162.10,64207.00,133.575,1722477659999
1722477660000,64206.90,64212.80,64156.60,64180.80,223.721,1722477719999
1722477720000,64180.90,64184.00,64079.40,64086.90,425.007,1722477779999
1722477780000,64086.90,64091.20,63924.40,63967.30,1883.443,1722477839999
1722477840000,63967.40,64027.50,63900.20,63999.90,1135.269,1722477899999
1722477900000,64000.00,64000.00,63900.00,63906.40,566.117,1722477959999
1722477960000,63906.50,63928.10,63888.00,63923.00,633.518,1722478019999
1722478020000,63923.10,64035.60,63910.00,64007.50,433.889,1722478079999
1722478080000,64007.50,64050.90,64000.00,64050.90,255.755,1722478139999
1722478140000,64050.90,64067.80,64015.60,64067.70,192.427,1722478199999
1722478200000,64067.80,64121.80,64051.50,64121.80,457.223,1722478259999
1722478260000,64121.80,64204.10,64113.60,64200.00,426.981,1722478319999
1722478320000,64199.90,64203.00,64174.00,64185.00,219.950,1722478379999
