open_time,open,high,low,close,volume,close_time
1706745600000,42560.50,42625.00,42560.50,42622.60,516.998,1706745659999
1706745660000,42622.60,42631.90,42606.50,42631.90,161.796,1706745719999
1706745720000,42631.80,42674.90,42631.80,42655.60,296.458,1706745779999
1706745780000,42655.60,42655.60,42618.90,42620.50,116.111,1706745839999
1706745840000,42620.50,42620.60,42577.80,42595.60,135.984,1706745899999
1706745900000,42595.70,42607.40,42576.80,42583.10,126.327,1706745959999
1706745960000,42583.10,42583.20,42570.00,42570.10,87.453,1706746019999
1706746020000,42570.00,42612.90,42570.00,42612.90,170.840,1706746079999
1706746080000,42612.90,42612.90,42591.10,42591.10,81.945,1706746139999
1706746140000,42591.10,42591.10,42569.50,42588.10,59.546,1706746199999
1706746200000,42588.00,42588.10,42576.60,42582.90,78.396,1706746259999
1706746260000,42582.80,42582.90,42561.90,42562.00,49.697,1706746319999
1706746320000,42561.90,42564.30,42557.40,42559.00,86.852,1706746379999
1706746380000,42559.10,42578.60,42559.10,42576.20,92.971,1706746439999
1706746440000,42576.10,42597.20,42576.10,42590.50,90.286,1706746499999
1706746500000,42590.50,42590.60,42566.70,42566.80,44.544,1706746559999
1706746560000,42566.70,42571.20,42555.40,42570.60,99.498,1706746619999
1706746620000,42570.60,42570.70,42555.40,42563.00,116.919,1706746679999
1706746680000,42563.00,42563.00,42552.20,42557.20,76.340,1706746739999
1706746740000,42556.90,42556.90,42548.60,42549.90,76.425,1706746799999
1706746800000,42549.90,42550.00,42509.60,42527.20,332.841,1706746859999
1706746860000,42527.10,42527.20,42476.20,42485.10,562.071,1706746919999
1706746920000,42485.00,42485.10,42433.00,42433.90,674.701,1706746979999
1706746980000,42434.00,42440.30,42420.50,42432.80,208.897,1706747039999
1706747040000,42432.80,42438.00,42411.00,42413.10,171.157,1706747099999
1706747100000,42413.20,42429.10,42400.70,42429.10,257.941,1706747159999
1706747160000,42429.10,42448.80,42420.80,42448.80,175.458,1706747219999
1706747220000,42448.80,42448.80,42412.10,42415.60,144.731,1706747279999
1706747280000,42415.60,42449.80,42411.00,42449.80,165.289,1706747339999
1706747340000,42449.80,42477.60,42439.20,42472.30,348.270,1706747399999
1706747400000,42472.40,42504.00,42472.30,42497.90,228.780,1706747459999
1706747460000,42497.80,42497.90,42437.40,42443.40,184.270,1706747519999
1706747520000,42443.50,42450.00,42427.20,42436.20,96.808,1706747579999
1706747580000,42436.20,42450.00,42418.80,42418.80,113.362,1706747639999
1706747640000,42418.80,42443.20,42413.40,42429.90,159.621,1706747699999
1706747700000,42430.00,42430.00,42412.20,42418.80,133.536,1706747759999
1706747760000,42418.80,42418.80,42381.60,42393.00,230.364,1706747819999
1706747820000,42393.00,42396.50,42341.40,42346.50,477.955,1706747879999
1706747880000,42346.50,42355.50,42322.00,42345.60,232.396,1706747939999
1706747940000,42345.70,42358.30,42278.10,42291.80,455.603,1706747999999
1706748000000,42291.80,42313.90,42201.60,42215.40,964.168,1706748059999
1706748060000,42215.50,42301.00,42208.50,42295.60,349.998,1706748119999
1706748120000,42295.60,42350.50,42293.00,42347.00,538.842,1706748179999
1706748180000,42347.00,42360.30,42326.90,42360.30,252.291,1706748239999
1706748240000,42360.30,42384.40,42355.00,42366.30,164.640,1706748299999
1706748300000,42366.20,42410.80,42366.20,42410.70,207.232,1706748359999
1706748360000,42410.80,42453.60,42399.60,42435.90,453.590,1706748419999
1706748420000,42436.00,42450.30,42406.80,42419.20,187.307,1706748479999
1706748480000,42419.20,42436.30,42408.40,42436.20,80.661,1706748539999
