open_time,open,high,low,close,volume,close_time
1725148800000,58941.90,58941.90,58933.40,58933.80,41.719,1725148859999
1725148860000,58933.70,58940.40,58928.50,58928.50,17.332,1725148919999
1725148920000,58928.50,58945.10,58925.20,58945.10,15.938,1725148979999
1725148980000,58945.00,58946.30,58926.70,58930.70,10.627,1725149039999
1725149040000,58930.80,58951.40,58930.70,58951.40,10.291,1725149099999
1725149100000,58951.40,58957.00,58943.70,58953.00,25.214,1725149159999
1725149160000,58953.00,58960.40,58953.00,58960.40,26.105,1725149219999
1725149220000,58960.40,58992.90,58960.30,58992.90,65.181,1725149279999
1725149280000,58992.90,59011.60,58992.80,59007.30,59.680,1725149339999
1725149340000,59007.40,59007.40,59002.30,59004.50,26.805,1725149399999
1725149400000,59004.60,59012.70,59004.50,59012.10,65.010,1725149459999
1725149460000,59012.00,59033.00,59012.00,59030.40,53.187,1725149519999
1725149520000,59030.40,59030.50,58990.10,58990.20,56.647,1725149579999
1725149580000,58990.20,59020.70,58990.10,59020.70,15.756,1725149639999
1725149640000,59020.70,59020.70,59004.00,59008.90,36.836,1725149699999
1725149700000,59009.00,59014.70,59004.00,59006.50,32.127,1725149759999
1725149760000,59006.60,59052.70,59006.60,59024.80,156.671,1725149819999
1725149820000,59024.90,59024.90,59006.50,59010.00,52.872,1725149879999
1725149880000,59010.00,59015.80,59006.50,59014.10,19.416,1725149939999
1725149940000,59014.10,59017.60,58992.80,58992.80,24.331,1725149999999
1725150000000,58992.80,58998.10,58985.00,58985.60,48.815,1725150059999
1725150060000,58985.50,58985.50,58979.90,58980.00,10.139,1725150119999
1725150120000,58980.00,58984.50,58975.10,58975.10,29.168,1725150179999
1725150180000,58975.20,58982.30,58975.10,58980.90,44.463,1725150239999
1725150240000,58980.90,58981.00,58960.00,58960.00,23.890,1725150299999
1725150300000,58960.00,58960.10,58914.40,58914.40,72.031,1725150359999
1725150360000,58914.50,58920.20,58872.00,58900.70,147.785,1725150419999
1725150420000,58900.70,58925.50,58896.80,58925.50,32.089,1725150479999
1725150480000,58925.50,58941.20,58920.70,58920.70,21.455,1725150539999
1725150540000,58920.70,58935.40,58920.70,58927.80,19.776,1725150599999
1725150600000,58927.80,58927.90,58919.70,58919.70,9.037,1725150659999
1725150660000,58919.80,58923.50,58891.30,58891.40,30.309,1725150719999
1725150720000,58891.40,58925.10,58889.50,58924.80,59.165,1725150779999
1725150780000,58924.80,58924.80,58901.10,58907.10,18.918,1725150839999
1725150840000,58907.10,58926.90,58902.50,58926.00,29.392,1725150899999
1725150900000,58925.90,58948.90,58925.90,58947.00,58.272,1725150959999
1725150960000,58947.50,58974.30,58947.40,58964.00,40.501,1725151019999
1725151020000,58964.10,58964.10,58950.00,58955.20,7.572,1725151079999
1725151080000,58955.20,58961.80,58952.80,58959.40,9.078,1725151139999
1725151140000,58959.30,58959.40,58959.30,58959.40,2.817,1725151199999
1725151200000,58959.30,58974.10,58959.30,58967.20,27.100,1725151259999
1725151260000,58967.20,58976.50,58962.70,58972.50,18.446,1725151319999
1725151320000,58972.50,58972.50,58972.40,58972.40,3.043,1725151379999
1725151380000,58972.50,58995.30,58972.50,58995.30,35.792,1725151439999
1725151440000,58995.30,58995.30,58877.30,58886.00,61.157,1725151499999
1725151500000,58885.90,58914.00,58885.90,58907.20,32.998,1725151559999
1725151560000,58907.10,58915.70,58899.00,58915.60,11.788,1725151619999
1725151620000,58915.70,58920.00,58903.80,58912.70,5.693,1725151679999
1725151680000,58912.70,58925.60,58909.30,58914.50,12.023,1725151739999
1725151740000,58914.30,58922.60,58903.80,58903.80,9.042,1725151799999
1725151800000,58903.80,58925.60,58903.80,58920.00,7.784,1725151859999
1725151860000,58920.00,58940.60,58917.20,58937.10,9.775,1725151919999
1725151920000,58937.10,58939.50,58916.40,58916.50,10.556,1725151979999
1725151980000,58916.40,58923.90,58914.00,58919.70,10.966,1725152039999
1725152040000,58919.70,58932.80,58912.50,58932.80,6.133,1725152099999
1725152100000,58932.70,58952.80,58928.10,58928.10,16.411,1725152159999
1725152160000,58928.00,58944.50,58928.00,58940.10,19.428,1725152219999
1725152220000,58940.10,58940.10,58922.00,58922.80,14.852,1725152279999
1725152280000,58922.80,58931.20,58922.60,58927.00,7.549,1725152339999
1725152340000,58927.00,58937.10,58905.30,58905.40,49.879,1725152399999
1725152400000,58905.30,58907.70,58881.60,58907.70,41.137,1725152459999
1725152460000,58907.70,58915.90,58907.60,58915.90,9.962,1725152519999
1725152520000,58915.90,58915.90,58909.90,58910.00,13.311,1725152579999
1725152580000,58909.90,58912.00,58905.30,58905.60,7.243,1725152639999
1725152640000,58905.60,58915.10,58899.70,58899.80,23.841,1725152699999
1725152700000,58899.70,58911.60,58899.70,58911.60,22.533,1725152759999
1725152760000,58911.50,58911.60,58900.90,58906.90,20.050,1725152819999
1725152820000,58906.80,58906.80,58882.10,58887.50,18.639,1725152879999
1725152880000,58887.40,58887.50,58874.80,58880.10,45.039,1725152939999
1725152940000,58880.00,58903.70,58880.00,58900.00,20.735,1725152999999
1725153000000,58900.00,58900.10,58870.90,58870.90,56.336,1725153059999
1725153060000,58870.90,58877.50,58856.80,58856.80,66.172,1725153119999
1725153120000,58856.80,58878.20,58856.80,58869.90,29.189,1725153179999
