open_time,open,high,low,close,volume,close_time
1711929600000,71363.00,71388.00,71273.50,71293.30,631.918,1711929659999
1711929660000,71293.20,71362.90,71274.00,71327.20,225.786,1711929719999
1711929720000,71327.20,71342.30,71233.10,71260.50,250.223,1711929779999
1711929780000,71260.40,71331.00,71200.00,71328.90,292.504,1711929839999
1711929840000,71328.90,71358.80,71310.60,71323.70,150.907,1711929899999
1711929900000,71323.60,71339.70,71300.00,71314.60,131.838,1711929959999
1711929960000,71314.60,71314.60,71193.20,71241.70,288.609,1711930019999
1711930020000,71241.70,71277.40,71237.20,71246.90,95.592,1711930079999
1711930080000,71246.90,71254.90,71230.00,71238.40,38.092,1711930139999
1711930140000,71238.50,71295.30,71238.40,71295.30,75.941,1711930199999
1711930200000,71295.20,71295.30,71204.90,71216.60,230.092,1711930259999
1711930260000,71216.60,71247.40,71213.20,71241.50,88.711,1711930319999
1711930320000,71241.50,71241.60,71223.20,71226.00,39.521,1711930379999
1711930380000,71226.10,71249.00,71226.00,71249.00,48.828,1711930439999
1711930440000,71248.90,71249.00,71230.00,71230.00,44.115,1711930499999
1711930500000,71230.00,71282.10,71201.10,71214.30,248.120,1711930559999
1711930560000,71214.30,71230.00,71182.50,71214.00,188.750,1711930619999
1711930620000,71214.00,71250.20,71200.00,71236.00,73.763,1711930679999
1711930680000,71236.00,71268.30,71235.90,71266.70,51.600,1711930739999
1711930740000,71266.60,71286.60,71266.60,71286.60,61.441,1711930799999
1711930800000,71286.50,71286.60,71250.00,71283.30,35.358,1711930859999
1711930860000,71283.30,71286.90,71229.70,71242.30,81.401,1711930919999
1711930920000,71242.40,71268.60,71242.40,71263.50,35.079,1711930979999
1711930980000,71263.60,71270.50,71259.60,71270.50,19.133,1711931039999
1711931040000,71270.50,71275.50,71261.40,71261.40,31.918,1711931099999
1711931100000,71261.40,71270.00,71259.00,71259.10,23.375,1711931159999
1711931160000,71259.00,71259.10,71192.60,71207.50,107.199,1711931219999
1711931220000,71207.50,71207.60,71143.30,71145.20,253.466,1711931279999
1711931280000,71145.20,71167.50,71144.00,71159.90,96.820,1711931339999
1711931340000,71160.00,71162.70,71150.00,71150.70,51.746,1711931399999
1711931400000,71150.70,71173.10,71139.00,71173.00,64.780,1711931459999
1711931460000,71173.10,71209.10,71173.00,71209.10,78.582,1711931519999
1711931520000,71209.10,71209.10,71162.40,71179.50,38.020,1711931579999
1711931580000,71179.50,71184.60,71161.90,71169.70,45.336,1711931639999
1711931640000,71169.80,71169.90,71151.80,71166.00,37.295,1711931699999
1711931700000,71166.00,71166.00,71124.90,71132.10,75.124,1711931759999
1711931760000,71132.00,71132.00,71067.00,71085.90,316.271,1711931819999
1711931820000,71086.00,71100.00,71060.00,71100.00,178.819,1711931879999
1711931880000,71099.90,71116.30,71094.40,71107.80,64.955,1711931939999
1711931940000,71107.80,71122.50,71093.00,71093.00,51.753,1711931999999
1711932000000,71093.00,71093.00,71001.40,71053.00,263.883,1711932059999
1711932060000,71052.90,71056.10,70992.80,70992.80,168.105,1711932119999
1711932120000,70992.80,70994.00,70935.50,70983.10,175.791,1711932179999
1711932180000,70983.20,71019.50,70983.10,71010.80,121.644,1711932239999
1711932240000,71010.90,71026.60,70983.10,71003.20,98.238,1711932299999
1711932300000,71003.30,71010.70,70956.30,71008.50,118.974,1711932359999
1711932360000,71008.50,71052.90,71000.00,71052.90,126.735,1711932419999
1711932420000,71052.90,71073.30,71052.80,71073.20,56.178,1711932479999
1711932480000,71073.20,71144.90,71073.20,71144.80,218.442,1711932539999
1711932540000,71144.90,71146.30,71121.00,71131.00,76.931,1711932599999
1711932600000,71131.00,71131.00,71089.00,71096.20,54.900,1711932659999
1711932660000,71096.10,71096.20,71070.40,71076.90,48.268,1711932719999
1711932720000,71076.90,71083.60,71072.30,71077.90,72.232,1711932779999
1711932780000,71077.90,71139.90,71074.80,71126.60,68.366,1711932839999
1711932840000,71126.70,71136.60,71117.40,71127.00,87.114,1711932899999
1711932900000,71127.10,71138.50,71096.60,71136.90,74.461,1711932959999
1711932960000,71137.00,71150.00,71122.00,71130.00,39.081,1711933019999
1711933020000,71130.00,71198.90,71130.00,71196.80,96.597,1711933079999
1711933080000,71196.80,71223.30,71196.80,71213.20,158.791,1711933139999
1711933140000,71213.20,71239.60,71213.20,71234.10,93.684,1711933199999
1711933200000,71234.10,71248.40,71196.90,71196.90,150.677,1711933259999
1711933260000,71197.00,71260.00,71196.90,71253.40,89.876,1711933319999
1711933320000,71253.50,71253.50,71202.10,71202.70,113.062,1711933379999
1711933380000,71202.70,71213.60,71191.00,71206.10,107.855,1711933439999
1711933440000,71206.10,71208.90,71191.10,71191.20,38.230,1711933499999
1711933500000,71191.20,71217.30,71191.10,71210.10,48.250,1711933559999
1711933560000,71210.20,71216.40,71190.00,71200.10,77.475,1711933619999
1711933620000,71200.10,71200.10,71122.00,71133.50,113.002,1711933679999
1711933680000,71133.50,71155.00,71125.00,71125.00,60.823,1711933739999
1711933740000,71125.10,71166.00,71122.50,71166.00,76.762,1711933799999
1711933800000,71166.00,71166.00,71129.10,71129.10,55.656,1711933859999
1711933860000,71129.20,71140.30,71120.00,71140.30,82.704,1711933919999
1711933920000,71140.20,71140.30,71078.10,71095.20,112.559,1711933979999
1711933980000,71095.20,71102.00,71080.00,71092.30,76.384,1711934039999
1711934040000,71092.40,71141.00,71092.40,71141.00,42.856,1711934099999
1711934100000,71141.00,71158.20,71124.10,71129.20,40.008,1711934159999
1711934160000,71129.20,71129.20,71073.10,71076.10,79.821,1711934219999
1711934220000,71076.20,71099.00,71071.80,71092.30,72.993,1711934279999
1711934280000,71092.30,71094.80,71057.00,71064.30,104.737,1711934339999
1711934340000,71064.40,71070.10,71035.20,71041.00,63.170,1711934399999
1711934400000,71041.00,71046.10,71021.30,71042.40,70.688,1711934459999
1711934460000,71042.50,71050.00,71021.90,71028.90,55.403,1711934519999
1711934520000,71028.90,71054.20,71028.80,71052.10,42.701,1711934579999
1711934580000,71052.10,71091.80,71044.30,71083.00,48.563,1711934639999
1711934640000,71083.00,71194.40,71083.00,71117.00,263.223,1711934699999
1711934700000,71117.10,71130.70,71083.70,71094.20,80.086,1711934759999
1711934760000,71094.30,71118.90,71079.50,71085.40,57.625,1711934819999
1711934820000,71085.50,71119.70,71067.60,71087.80,116.486,1711934879999
