open_time,open,high,low,close,volume,close_time
1717200000000,67577.90,67620.50,67572.00,67608.70,129.521,1717200059999
1717200060000,67608.70,67620.00,67587.70,67597.40,77.763,1717200119999
1717200120000,67597.30,67624.60,67588.20,67619.50,39.051,1717200179999
1717200180000,67619.50,67658.50,67606.00,67641.60,112.241,1717200239999
1717200240000,67641.50,67680.70,67638.50,67680.40,106.172,1717200299999
1717200300000,67680.40,67721.30,67667.20,67675.10,158.152,1717200359999
1717200360000,67675.10,67676.10,67669.20,67675.20,40.055,1717200419999
1717200420000,67675.20,67727.80,67675.20,67697.00,92.149,1717200479999
1717200480000,67697.00,67697.10,67678.10,67678.10,70.659,1717200539999
1717200540000,67678.10,67678.10,67641.60,67641.60,57.737,1717200599999
1717200600000,67641.60,67658.60,67639.60,67654.90,46.173,1717200659999
1717200660000,67654.90,67673.20,67644.30,67644.30,59.158,1717200719999
1717200720000,67644.30,67644.40,67618.10,67618.10,30.545,1717200779999
1717200780000,67618.10,67618.20,67596.50,67596.50,73.603,1717200839999
1717200840000,67596.50,67619.70,67596.10,67613.60,26.894,1717200899999
1717200900000,67613.60,67613.60,67580.30,67584.20,51.018,1717200959999
1717200960000,67584.10,67584.20,67554.40,67568.10,85.510,1717201019999
1717201020000,67568.00,67568.10,67537.90,67540.00,61.501,1717201079999
1717201080000,67540.00,67556.90,67539.90,67548.20,57.994,1717201139999
1717201140000,67548.30,67564.40,67544.00,67564.40,30.966,1717201199999
1717201200000,67564.30,67564.40,67537.90,67537.90,47.713,1717201259999
1717201260000,67538.00,67562.90,67535.40,67561.70,94.515,1717201319999
1717201320000,67561.70,67561.70,67538.50,67542.80,20.116,1717201379999
1717201380000,67542.90,67544.80,67537.50,67544.70,23.779,1717201439999
1717201440000,67544.80,67550.40,67544.70,67545.80,48.382,1717201499999
1717201500000,67545.70,67561.00,67540.00,67560.90,48.532,1717201559999
1717201560000,67561.00,67576.80,67560.90,67576.80,26.033,1717201619999
1717201620000,67576.70,67576.80,67566.70,67572.30,17.062,1717201679999
1717201680000,67572.30,67597.50,67569.80,67592.70,36.371,1717201739999
1717201740000,67592.60,67595.90,67582.30,67595.80,55.430,1717201799999
1717201800000,67595.80,67641.30,67595.80,67632.40,55.344,1717201859999
1717201860000,67632.10,67659.00,67632.00,67655.50,31.161,1717201919999
1717201920000,67655.60,67666.80,67651.30,67652.20,33.042,1717201979999
1717201980000,67652.30,67668.30,67640.70,67668.30,27.774,1717202039999
1717202040000,67668.20,67673.30,67636.10,67636.10,44.798,1717202099999
1717202100000,67636.10,67636.10,67601.40,67609.60,36.105,1717202159999
1717202160000,67609.70,67609.70,67580.00,67580.10,32.011,1717202219999
1717202220000,67580.00,67610.00,67580.00,67610.00,20.167,1717202279999
1717202280000,67610.00,67630.70,67609.90,67617.10,19.438,1717202339999
1717202340000,67617.10,67626.00,67611.70,67617.10,13.720,1717202399999
1717202400000,67617.20,67626.80,67611.20,67626.80,30.518,1717202459999
1717202460000,67626.80,67660.30,67626.80,67660.20,40.846,1717202519999
1717202520000,67660.30,67660.30,67639.50,67643.90,39.447,1717202579999
1717202580000,67643.80,67643.90,67623.70,67630.00,13.774,1717202639999
1717202640000,67630.00,67644.70,67620.60,67644.60,34.854,1717202699999
1717202700000,67644.70,67649.10,67633.90,67634.00,11.141,1717202759999
1717202760000,67634.00,67703.00,67633.90,67699.30,240.379,1717202819999
1717202820000,67699.40,67699.40,67675.00,67680.20,40.194,1717202879999
1717202880000,67680.10,67680.10,67659.90,67663.90,23.838,1717202939999
1717202940000,67663.90,67692.40,67656.00,67683.10,58.563,1717202999999
1717203000000,67683.10,67710.00,67683.10,67706.30,42.770,1717203059999
1717203060000,67706.30,67729.90,67700.40,67724.90,76.221,1717203119999
1717203120000,67725.00,67725.00,67703.60,67709.40,44.783,1717203179999
1717203180000,67709.30,67720.20,67709.30,67712.00,15.647,1717203239999
1717203240000,67712.00,67712.10,67710.00,67710.00,13.252,1717203299999
1717203300000,67710.10,67710.10,67691.10,67691.10,45.919,1717203359999
1717203360000,67691.10,67691.10,67685.50,67685.60,43.835,1717203419999
1717203420000,67685.60,67685.60,67680.30,67680.40,15.042,1717203479999
1717203480000,67680.40,67690.30,67680.30,67690.30,27.033,1717203539999
1717203540000,67690.20,67698.50,67687.00,67690.00,29.040,1717203599999
1717203600000,67690.10,67696.70,67687.00,67687.10,34.434,1717203659999
1717203660000,67687.10,67702.20,67680.10,67700.50,45.182,1717203719999
1717203720000,67700.60,67707.00,67694.60,67707.00,63.274,1717203779999
1717203780000,67706.90,67720.40,67706.90,67720.40,30.001,1717203839999
1717203840000,67720.40,67742.10,67711.00,67713.10,117.828,1717203899999
1717203900000,67713.10,67727.10,67709.00,67709.10,56.550,1717203959999
1717203960000,67709.00,67718.70,67690.60,67690.70,45.652,1717204019999
1717204020000,67690.60,67690.60,67653.30,67653.40,54.036,1717204079999
1717204080000,67653.30,67653.40,67625.00,67629.90,54.217,1717204139999
1717204140000,67630.00,67676.00,67629.90,67676.00,18.320,1717204199999
1717204200000,67676.00,67700.00,67675.90,67690.70,43.992,1717204259999
1717204260000,67690.70,67690.70,67657.00,67657.10,85.659,1717204319999
1717204320000,67657.10,67657.10,67650.10,67650.20,12.951,1717204379999
1717204380000,67650.20,67663.80,67643.50,67663.80,19.842,1717204439999
1717204440000,67663.80,67663.80,67650.00,67650.10,12.050,1717204499999
1717204500000,67650.00,67668.60,67643.10,67643.10,29.632,1717204559999
1717204560000,67643.10,67643.20,67640.00,67640.10,35.058,1717204619999
1717204620000,67640.00,67640.10,67633.00,67633.00,40.682,1717204679999
1717204680000,67633.10,67633.10,67632.00,67632.00,26.535,1717204739999
1717204740000,67632.00,67640.80,67592.00,67593.10,118.527,1717204799999
1717204800000,67593.10,67610.10,67582.00,67583.40,82.615,1717204859999
1717204860000,67583.40,67601.20,67566.30,67569.80,88.418,1717204919999
1717204920000,67569.90,67587.30,67538.00,67559.10,167.980,1717204979999
1717204980000,67559.70,67593.40,67559.70,67577.80,70.686,1717205039999
1717205040000,67577.90,67597.70,67567.70,67593.70,59.233,1717205099999
1717205100000,67593.70,67593.70,67581.10,67582.90,28.208,1717205159999
1717205160000,67582.90,67623.80,67582.90,67607.00,141.179,1717205219999
1717205220000,67607.00,67609.00,67593.10,67604.10,66.789,1717205279999
1717205280000,67604.10,67611.90,67604.10,67608.60,20.102,1717205339999
1717205340000,67608.60,67608.60,67606.60,67608.60,8.820,1717205399999
1717205400000,67608.60,67630.00,67608.60,67629.90,32.296,1717205459999
1717205460000,67629.90,67630.00,67606.50,67606.50,57.171,1717205519999
1717205520000,67606.50,67609.60,67595.40,67609.60,35.055,1717205579999
1717205580000,67609.60,67628.50,67604.60,67623.40,24.904,1717205639999
1717205640000,67623.30,67630.00,67614.00,67614.10,45.658,1717205699999
1717205700000,67614.00,67619.30,67607.00,67619.30,32.406,1717205759999
1717205760000,67619.30,67619.30,67597.80,67597.90,16.721,1717205819999
1717205820000,67597.80,67604.40,67590.00,67604.40,64.735,1717205879999
1717205880000,67604.30,67604.40,67496.00,67496.00,231.196,1717205939999
1717205940000,67496.00,67534.50,67484.50,67501.70,183.713,1717205999999
1717206000000,67501.60,67526.30,67480.00,67516.30,198.665,1717206059999
1717206060000,67516.30,67532.40,67504.20,67525.50,48.342,1717206119999
1717206120000,67525.40,67525.50,67506.80,67511.10,24.362,1717206179999
1717206180000,67511.10,67528.20,67502.00,67512.20,68.668,1717206239999
1717206240000,67512.30,67545.50,67512.30,67540.10,60.308,1717206299999
1717206300000,67540.20,67570.90,67540.10,67570.80,31.137,1717206359999
1717206360000,67570.90,67582.30,67559.00,67578.40,42.729,1717206419999
1717206420000,67578.50,67580.00,67576.40,67576.50,11.628,1717206479999
1717206480000,67576.40,67595.40,67575.20,67588.50,33.493,1717206539999
1717206540000,67588.50,67588.50,67572.50,67572.60,14.370,1717206599999
1717206600000,67572.60,67572.60,67559.30,67559.40,25.687,1717206659999
1717206660000,67559.40,67575.90,67559.30,67575.90,14.742,1717206719999
1717206720000,67575.90,67578.70,67565.90,67575.90,11.198,1717206779999
1717206780000,67575.90,67595.10,67575.90,67595.10,18.183,1717206839999
1717206840000,67595.10,67595.10,67591.10,67591.10,5.511,1717206899999
1717206900000,67591.10,67595.90,67591.10,67595.90,14.079,1717206959999
1717206960000,67595.90,67598.00,67593.90,67598.00,27.075,1717207019999
1717207020000,67598.00,67606.80,67576.00,67580.50,71.746,1717207079999
1717207080000,67580.60,67600.00,67567.40,67598.20,76.071,1717207139999
1717207140000,67598.30,67600.00,67594.20,67600.00,19.514,1717207199999
1717207200000,67600.00,67623.10,67584.40,67623.10,75.990,1717207259999
1717207260000,67623.10,67633.30,67623.10,67631.30,36.777,1717207319999
1717207320000,67631.40,67649.40,67625.50,67638.10,59.462,1717207379999
1717207380000,67638.00,67644.40,67631.80,67631.80,17.505,1717207439999
1717207440000,67631.90,67644.40,67631.90,67644.30,18.456,1717207499999
1717207500000,67644.40,67651.20,67644.30,67651.20,27.012,1717207559999
1717207560000,67651.10,67695.20,67651.10,67695.20,104.981,1717207619999
1717207620000,67695.30,67766.40,67686.90,67697.50,267.994,1717207679999
1717207680000,67697.50,67697.60,67677.40,67686.00,46.346,1717207739999
1717207740000,67686.10,67712.90,67686.10,67701.40,76.636,1717207799999
1717207800000,67701.50,67702.00,67700.00,67700.10,14.855,1717207859999
1717207860000,67700.10,67700.10,67683.10,67683.20,26.656,1717207919999
1717207920000,67683.20,67683.20,67680.00,67680.10,15.934,1717207979999
1717207980000,67680.00,67680.10,67673.80,67680.10,39.137,1717208039999
1717208040000,67680.10,67683.50,67680.00,67680.10,21.420,1717208099999
1717208100000,67680.10,67680.10,67666.00,67666.00,137.540,1717208159999
1717208160000,67666.00,67680.00,67666.00,67677.70,77.080,1717208219999
1717208220000,67677.70,67714.80,67674.10,67693.50,128.414,1717208279999
1717208280000,67692.10,67692.10,67683.90,67683.90,13.790,1717208339999
1717208340000,67684.00,67686.80,67682.40,67686.80,11.847,1717208399999
1717208400000,67686.80,67702.40,67686.80,67701.20,37.739,1717208459999
1717208460000,67701.20,67702.40,67694.40,67694.50,24.113,1717208519999
1717208520000,67694.50,67702.90,67694.50,67700.60,12.000,1717208579999
1717208580000,67700.60,67700.60,67679.30,67679.30,28.382,1717208639999
1717208640000,67679.40,67679.90,67674.30,67679.90,11.434,1717208699999
1717208700000,67680.00,67697.30,67679.90,67697.20,17.855,1717208759999
1717208760000,67697.30,67706.00,67687.80,67704.00,30.904,1717208819999
1717208820000,67703.90,67704.00,67697.50,67697.50,9.051,1717208879999
1717208880000,67697.60,67697.60,67682.60,67689.50,23.264,1717208939999
1717208940000,67689.50,67705.10,67689.40,67705.10,20.937,1717208999999
1717209000000,67705.10,67713.10,67700.00,67713.10,29.048,1717209059999
1717209060000,67713.10,67736.00,67713.00,67736.00,25.686,1717209119999
1717209120000,67736.00,67763.90,67735.90,67763.80,35.304,1717209179999
1717209180000,67763.90,67788.90,67727.00,67727.00,109.082,1717209239999
1717209240000,67727.00,67727.10,67706.90,67706.90,28.054,1717209299999
1717209300000,67706.90,67720.00,67704.80,67716.70,25.310,1717209359999
1717209360000,67716.70,67716.70,67705.70,67705.70,11.171,1717209419999
1717209420000,67705.80,67715.00,67705.70,67710.10,23.121,1717209479999
1717209480000,67710.20,67713.10,67707.30,67707.40,12.849,1717209539999
1717209540000,67707.40,67707.40,67707.30,67707.30,10.141,1717209599999
1717209600000,67707.40,67715.10,67703.90,67715.10,16.642,1717209659999
1717209660000,67715.10,67715.10,67705.60,67705.70,12.591,1717209719999
1717209720000,67705.70,67729.70,67705.60,67729.70,16.434,1717209779999
1717209780000,67729.70,67748.00,67721.40,67721.40,27.907,1717209839999
