open_time,open,high,low,close,volume,close_time
1714521600000,60651.20,60720.70,60622.70,60710.30,372.821,1714521659999
1714521660000,60710.20,60757.70,60691.10,60733.40,181.338,1714521719999
1714521720000,60733.40,60733.40,60641.50,60644.60,225.541,1714521779999
1714521780000,60644.60,60687.00,60639.90,60686.90,93.594,1714521839999
1714521840000,60687.00,60700.80,60652.10,60652.20,114.843,1714521899999
1714521900000,60652.20,60704.90,60632.20,60698.90,174.542,1714521959999
1714521960000,60698.90,60719.80,60666.00,60676.00,105.263,1714522019999
1714522020000,60676.10,60758.50,60668.60,60756.50,115.226,1714522079999
1714522080000,60756.50,60782.10,60737.80,60780.10,100.468,1714522139999
1714522140000,60780.10,60780.10,60729.00,60735.50,68.117,1714522199999
1714522200000,60735.60,60796.30,60732.30,60790.00,104.304,1714522259999
1714522260000,60790.50,60815.20,60783.20,60812.30,84.632,1714522319999
1714522320000,60812.30,60816.70,60708.60,60715.10,191.774,1714522379999
1714522380000,60715.20,60733.20,60674.30,60674.30,110.124,1714522439999
1714522440000,60674.40,60720.00,60567.80,60568.00,247.887,1714522499999
1714522500000,60568.00,60700.00,60568.00,60691.00,275.835,1714522559999
1714522560000,60691.00,60693.90,60600.00,60604.50,63.694,1714522619999
1714522620000,60604.60,60640.40,60539.70,60586.90,247.492,1714522679999
1714522680000,60587.00,60591.30,60550.10,60553.60,104.055,1714522739999
1714522740000,60553.70,60568.60,60520.10,60522.00,168.546,1714522799999
1714522800000,60522.10,60550.00,60467.30,60495.50,477.782,1714522859999
1714522860000,60495.50,60510.00,60462.50,60476.10,109.610,1714522919999
1714522920000,60476.00,60482.10,60449.40,60478.40,180.480,1714522979999
1714522980000,60478.40,60529.80,60470.00,60512.10,108.317,1714523039999
1714523040000,60512.00,60563.90,60512.00,60528.30,74.733,1714523099999
1714523100000,60528.40,60528.40,60511.80,60521.40,35.188,1714523159999
1714523160000,60521.30,60550.00,60519.70,60523.40,77.019,1714523219999
1714523220000,60523.50,60530.40,60431.60,60440.00,145.276,1714523279999
1714523280000,60440.00,60464.20,60417.20,60422.20,101.352,1714523339999
1714523340000,60422.20,60440.60,60350.00,60390.80,471.597,1714523399999
1714523400000,60390.90,60402.00,60370.30,60395.90,120.752,1714523459999
1714523460000,60396.00,60398.20,60108.20,60195.10,1203.208,1714523519999
1714523520000,60195.00,60221.20,60060.60,60074.30,773.339,1714523579999
1714523580000,60074.30,60230.00,60068.10,60220.10,370.659,1714523639999
1714523640000,60220.10,60313.80,60220.10,60300.40,316.946,1714523699999
1714523700000,60300.40,60387.60,60291.70,60376.70,205.671,1714523759999
1714523760000,60376.80,60376.80,60242.70,60260.00,185.171,1714523819999
1714523820000,60260.00,60324.70,60251.40,60287.30,138.560,1714523879999
1714523880000,60287.30,60349.70,60280.50,60298.00,118.378,1714523939999
